solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot
1636148068921376768,Gaia DR3 3665501184671104,3665501184671104,384374926,2016.0,45.593898994088654,0.052130483,4.352914234157361,0.046365306,7.33837284562764,0.062597506,117.23108,17.794455,16.640977854581223,0.07327514,6.302420235890801,0.05165412,0.012656237,0.010214159,0.02615774,0.1658022,-0.4739205,0.27738258,0.23274761,-0.2845538,-0.13441469,-0.0128861535,169,169,167,2,-1.4869951,5063.2827,0.38727245,203.13947,31,False,1.79196,,,,,,,,19,12,0.10340346,19,7,8,0.09598495,154.87581,1,0,0.9165378,,,,,,,,,True,163,108285562.57096694,99981.11,1083.0602,5.6009407,19,82786657.73539564,168090.27,492.5131,5.5436416,16,42172954.84157597,73459.44,574.0985,5.6853104,1.1539822,0.0,0.0,0.0,0.0,0.0,-0.1416688,-0.057299137,-0.08436966,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,173.08317046239512,-45.3878482009564,44.42051244367232,-12.340148973070784,False,False,0,False,False,False,False,False,True,True,False,1.02153535e-13,5.102518e-13,0.99999976,12680.77,12627.515,12711.116,3.9876,3.9803,3.9957,-0.9186,-0.9824,-0.7996,135.7451,134.6596,137.0956,0.0005,0.0001,0.0012,0.0005,0.0001,0.0012,0.0003,0.0,0.0006,A
1636148068921376768,Gaia DR3 4425847835083264,4425847835083264,1642115814,2016.0,48.10981175974319,0.11553644,6.660882342424615,0.096279025,4.163520957913336,0.11900143,34.98715,8.433673,-8.399697035575667,0.15160693,-0.7562548964030311,0.10456272,-0.0777946,0.06515261,0.23348227,0.15250771,-0.3795179,0.124139525,0.2658959,0.12177945,-0.10746468,-0.15763745,98,98,97,1,6.4981766,6220.0405,0.6411968,472.9813,31,False,1.4374063,,,,,,,,11,10,0.21413787,12,4,10,0.038688205,159.66312,0,0,1.5113156,,,,,,,,,False,103,166411332.66060883,188865.64,881.1096,5.1344094,12,67158672.6430408,248789.69,269.94156,5.770787,12,142913992.6480969,1124379.0,127.10482,4.3602085,1.26237,0.0,0.0,0.0,0.0,0.0,1.4105783,0.63637733,0.7742009,-9.572037,7.295481,1.0,8.0,0.0,8.0,903.4417,,0.0,733.24316,41.789467,4750.0,4.0,0.5,444.0,13.948441,0.86649245,7.0,4.0729275,0.00728174,8.0,,NOT_AVAILABLE,173.3999153048811,-41.9900609746666,47.5304675367104,-10.818334377595448,False,False,0,False,False,False,False,False,False,True,False,1.02480057e-13,5.118827e-13,0.9999547,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 5228079006411904,5228079006411904,311570812,2016.0,44.26913576658498,0.08100667,4.501125525228609,0.06596585,3.049690678222294,0.10034511,30.39202,28.819326,17.938077087810328,0.075127415,22.556130192080875,0.059448928,-0.34145644,0.38541383,0.062207367,-0.008021811,-0.59210724,-0.095048316,0.030134523,0.16718788,-0.0241885,0.027946187,106,106,102,4,2.1967468,4231.3486,0.42056444,253.5709,31,True,1.2853063,,,,,,,,12,10,0.10870813,12,6,14,0.028742477,64.72632,5,0,1.1581824,,,,,,,,,False,104,183787603.66565588,833455.4,220.51283,5.0265765,12,36857799.81384248,757676.7,48.645813,6.422219,12,228452665.67189425,3025550.8,75.5078,3.850905,1.4435711,0.0,0.0,0.0,0.0,0.0,2.5713139,1.3956423,1.1756716,50.044617,0.4199022,1.0,5.0,0.0,4.0,1009.05347,,3.5180792e-10,558.30585,1.7926407,3700.0,1.0,0.0,440.0,,,,3.3798056,0.015597946,5.0,,VARIABLE,171.5462833878301,-46.17384576604914,43.17065892727464,-11.81785376977753,False,False,0,False,False,False,True,False,False,True,False,1.0615666e-13,5.3024723e-13,0.9995907,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 5850333868501248,5850333868501248,623566722,2016.0,41.33742169584141,0.056349047,4.7114504498852,0.050819185,20.371766109641275,0.06332235,321.71527,80.81682,69.74547472674081,0.06596487,-40.82801481032268,0.05840944,0.10651679,-0.13790336,0.089719586,0.09607331,-0.117167965,0.10106453,0.3106358,-0.119808376,0.33111897,-0.10420694,115,115,114,1,3.5865154,3467.7385,0.3590915,170.75475,95,False,,1.6498308,0.016062498,0.21227388,-0.05716997,-0.10005132,0.15555999,-0.011281808,13,10,0.09338371,15,15,0,0.06961156,152.33961,0,0,1.2503762,,,,,,,,,False,123,76376548.8505799,49030.03,1557.7504,5.9799666,14,48512594.15254799,107747.85,450.24188,6.123906,14,41358020.174361065,59886.125,690.6111,5.7064962,1.1766782,0.0,0.0,0.0,0.0,0.0,0.4174099,0.1439395,0.2734704,23.694855,0.4484209,1.0,7.0,0.0,7.0,416.82272,3.0023708,1.7597084e-05,863.51483,2.4260101,7000.0,4.0,0.25,555.0,103.03235,0.7304549,6.0,5.6257663,0.0074325083,7.0,,NOT_AVAILABLE,168.09223672397223,-47.91944658269379,40.38957615072191,-10.747493796054744,False,False,0,False,False,False,False,False,False,True,False,1.7308995e-13,8.6457566e-13,0.99296397,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 6803919687302528,6803919687302528,795025135,2016.0,45.46807230961405,0.14484984,5.336219193957437,0.1126864,9.239782749279827,0.15656365,59.016144,42.030632,38.906485621133896,0.16618073,15.901554393972017,0.14363112,-0.13941424,0.3112766,-0.021978376,-0.029728303,-0.29499558,0.04646002,0.10877025,-0.11434829,-0.0864927,0.18029884,155,155,147,8,50.31374,15719.363,1.0219171,1032.823,31,False,1.4717643,,,,,,,,17,13,0.2389939,19,7,16,0.0146063985,79.4129,0,0,5.1671224,,,,,,,,,False,154,78582317.90119836,25211.4,3116.9358,5.9490547,16,34784040.127997965,45673.51,761.58014,6.485092,13,62471962.23947621,107355.37,581.9175,5.2586827,1.2376322,0.0,0.0,0.0,0.0,0.0,1.2264094,0.53603745,0.690372,-50.949234,1.0377507,1.0,9.0,0.0,9.0,639.2056,,0.0,913.1298,2.26186,4500.0,2.0,-0.25,444.0,9.385143,0.46237373,8.0,4.9946938,0.009369809,9.0,,NOT_AVAILABLE,172.00583366958452,-44.75244771909011,44.58377929148818,-11.361846074771051,False,False,0,False,False,False,False,False,True,True,False,1.0236787e-13,5.113224e-13,0.9999658,5021.7573,5017.5303,5025.417,2.7596,2.7494,2.7682,-0.1315,-0.1383,-0.1281,107.1604,105.8568,108.7247,0.4078,0.4031,0.4114,0.3225,0.3188,0.3254,0.1707,0.1686,0.1722,MARCS
1636148068921376768,Gaia DR3 8810116091022208,8810116091022208,371364673,2016.0,44.05766181697293,0.10680581,8.38116469976781,0.06703654,23.14853753090701,0.08733483,265.05505,111.3899,66.40087965379057,0.12481492,-89.43507977777753,0.07972633,-0.31367803,0.048205093,0.16255528,0.062533654,-0.1302076,0.04084599,0.2789985,0.21501236,-0.0064578224,-0.17774795,115,115,113,2,5.3086085,5110.6313,0.5268897,355.65112,31,False,1.7988877,,,,,,,,13,10,0.1760129,16,5,13,0.032927968,88.11162,0,0,1.3787111,,,,,,,,,False,126,85231382.05548255,47065.156,1810.9232,5.860868,15,50025808.19052605,53842.1,929.12067,6.090557,15,51132922.62019937,81389.266,628.2514,5.476144,1.1868719,0.0,0.0,0.0,0.0,0.0,0.61441326,0.22968912,0.38472414,27.377527,0.14923118,1.0,7.0,0.0,7.0,474.82333,,0.29564506,893.5607,0.5857601,6500.0,4.0,0.25,222.0,8.214256,0.5284379,6.0,5.356255,0.007811374,7.0,,NOT_AVAILABLE,167.75752801995148,-43.368283919566174,44.10801348863744,-8.043376334006693,False,False,0,False,False,False,False,False,True,True,False,1.2558453e-13,6.272884e-13,0.9976672,6350.0938,6345.6543,6354.4253,3.9342,3.8905,3.9405,-0.1804,-0.1913,-0.1378,43.7931,43.3544,46.8877,0.0005,0.0,0.0033,0.0005,0.0,0.0029,0.0003,0.0,0.0016,A
1636148068921376768,Gaia DR3 8900825800310016,8900825800310016,97943239,2016.0,44.928756622077145,0.1378747,8.907313066231804,0.10788997,7.32072847953057,0.14511202,50.44881,18.404623,8.382463671123842,0.15549998,-16.384884771127954,0.12860394,0.09655644,0.32837534,0.1189185,0.26420155,0.104407795,0.19971514,0.41347915,0.021896468,0.29418248,0.09094377,107,107,106,1,-0.95342666,10859.698,0.7824724,641.21655,31,False,1.7911404,,,,,,,,12,10,0.22237065,12,3,7,0.036191963,132.15489,0,0,0.930449,,,,,,,,,False,99,256751256.9590488,425390.12,603.5666,4.663585,12,193181933.93682733,344000.97,561.5738,4.6236258,10,100548540.59188671,208814.14,481.5217,4.741956,1.1440274,0.0,0.0,0.0,0.0,0.0,-0.11833048,-0.03995943,-0.07837105,24.661987,1.0873848,1.0,7.0,0.0,6.0,632.7239,,0.03939614,778.2123,6.739641,9500.0,4.5,0.0,555.0,171.51947,7.255222,7.0,4.7562313,0.00804148,7.0,651.0588,NOT_AVAILABLE,168.20601225440657,-42.41406438598222,45.09322963774055,-7.785991799136121,False,False,0,False,False,True,False,False,False,True,False,1.0207761e-13,5.098725e-13,0.9999999,,,,,,,,,,,,,,,,,,,,,,
1636148068921376768,Gaia DR3 11166438229308672,11166438229308672,934334483,2016.0,51.20302758439933,0.28886068,9.028538893521931,0.21283974,15.078813297551084,0.30819702,48.925888,99.72079,-66.3842445405924,0.35629368,-74.41348730919924,0.26478648,0.0074346866,0.16282603,-0.16895346,0.011411798,-0.14153917,0.009795036,0.07097586,0.14508916,0.049423464,0.09937607,215,215,212,3,72.38919,260968.73,2.4007058,11797.363,95,False,,1.3608521,0.08590528,-0.20421341,0.08464691,-0.1557858,0.090148225,0.04050148,25,15,0.49968877,25,25,0,0.017018685,121.70748,0,0,6.2043886,,,,,,,,,False,194,835597662.8828965,1219789.2,685.0344,3.3823738,25,369479041.2894314,5319660.0,69.45538,3.9195676,24,612006767.5980333,3534306.8,173.16176,2.781005,1.1745914,0.0,0.0,0.0,0.0,0.0,1.1385627,0.5371938,0.6013689,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,174.11786825228313,-38.1569674610156,51.16325913478705,-9.33448543181924,False,False,0,True,True,False,False,False,False,True,False,7.727976e-10,1.7621559e-09,0.99985856,4911.413,4908.9277,4913.5923,2.0307,2.017,2.0491,-1.1663,-1.1727,-1.1624,67.17,65.7597,68.2381,0.0003,0.0,0.001,0.0002,0.0,0.0008,0.0001,0.0,0.0004,MARCS
1636148068921376768,Gaia DR3 12561615405506176,12561615405506176,824858266,2016.0,53.14990051144888,0.0998162,9.373236488496987,0.06555241,8.991481876387276,0.08664893,103.7691,56.808723,30.32725707794592,0.1529482,-48.03632686245544,0.08642688,-0.2855106,-0.060636625,0.6648931,-0.39382243,-0.3339748,-0.41732526,0.6086011,0.032433804,-0.25053123,-0.4098562,144,144,142,2,3.9971526,5406.0596,0.46968657,289.0875,31,False,1.7784339,,,,,,,,16,9,0.23238905,17,3,10,0.04235956,151.11954,0,0,1.2483284,,,,,,,,,False,144,94871673.52807768,88549.414,1071.3981,5.7445254,15,71482508.39833213,105163.05,679.7303,5.703043,13,38490243.28540713,45706.31,842.12103,5.7845187,1.1591737,0.0,0.0,0.0,0.0,0.0,-0.081475735,-0.04148245,-0.039993286,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,175.51444738541912,-36.55072231041701,53.13717288296064,-9.475647970352425,False,False,0,False,False,False,False,False,True,True,False,1.022372e-13,5.106697e-13,0.9999862,10963.216,10892.653,11125.364,4.1315,4.0867,4.1409,0.6431,-0.1705,0.7018,113.2721,112.0162,114.4292,0.0767,0.0602,0.0823,0.0749,0.0588,0.0804,0.0398,0.0313,0.0428,A
1636148068921376768,Gaia DR3 12730974556132096,12730974556132096,1306142472,2016.0,51.7925714099467,0.46086204,9.732550147153876,0.48495215,16.791442221122395,0.69366705,24.206776,82.86579,70.74114212076735,0.63990754,-43.155877043093504,0.5088291,0.15400656,0.01085136,0.0077976626,0.038937684,-0.6440778,-0.19103175,0.1776198,0.3645648,-0.08364636,0.21559593,123,123,118,5,61.89389,142697.47,2.9431446,10398.731,95,False,,1.4495219,0.14165951,-0.38031417,-0.04345476,-0.0075896,-0.11160143,-0.006231144,14,11,0.9376322,14,14,0,0.038165577,137.70198,57,0,7.27634,,,,,,,,,False,109,622608454.8994039,4088779.2,152.27246,3.7018294,12,460212170.0861745,3932310.0,117.03355,3.6811469,13,253265264.6129498,585307.2,432.70486,3.7389565,1.1459489,0.0,0.0,0.0,0.0,0.0,-0.05780959,-0.020682573,-0.037127018,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,174.01619715607671,-37.24730534740955,51.91223456601379,-8.798830517902259,False,False,0,False,False,False,False,False,False,True,False,1.02170856e-13,5.1033825e-13,0.99999225,,,,,,,,,,,,,,,,,,,,,,
